# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
90 0.560081 -1.70784 0.252907
100 0.749309 -1.55828 0.90062
110 0.867976 -1.46878 1.25506
120 0.918745 -1.45 1.27668
130 0.963443 -1.41765 1.3246
140 0.953632 -1.41695 1.26198
150 0.984004 -1.40575 1.23869
160 0.985563 -1.37112 1.2916
170 0.970627 -1.38874 1.19915
180 0.952692 -1.3979 1.14061
190 0.955309 -1.38588 1.17306
200 0.998806 -1.37035 1.22561
210 1.00433 -1.36857 1.19466
220 0.976685 -1.36287 1.17801
230 1.02585 -1.35305 1.21234
240 1.01653 -1.3783 1.11623
250 1.00792 -1.3421 1.23153
260 1.01781 -1.35602 1.16362
270 1.03041 -1.31805 1.2561
280 1.0615 -1.33107 1.19964
290 1.05124 -1.34455 1.11454
300 1.03489 -1.34359 1.10238
310 1.03241 -1.35746 1.06107
320 1.01585 -1.32788 1.15968
330 0.985619 -1.32691 1.14672
340 1.01424 -1.34295 1.08948
350 0.970329 -1.35177 1.01845
360 0.971601 -1.34856 1.02465
370 0.98148 -1.34617 1.03407
380 0.98273 -1.36849 0.952614
390 1.0323 -1.35702 1.00108
400 1.00091 -1.34379 1.01606
410 1.01332 -1.32578 1.06686
420 1.0391 -1.36286 0.937914
430 1.03395 -1.37037 0.915134
440 1.00616 -1.32236 1.07211
450 1.01596 -1.3443 1.00525
460 0.998511 -1.34776 0.990336
470 0.941376 -1.34548 0.941956
480 0.999942 -1.34709 0.933509
490 0.965681 -1.33672 0.945065
500 1.03775 -1.33144 0.987073
510 0.993664 -1.33361 0.97807
520 1.04068 -1.34282 0.975747
530 1.03356 -1.36254 0.907914
540 0.972768 -1.33918 0.945275
550 0.994502 -1.35117 0.895667
560 0.963834 -1.3593 0.83434
570 0.987826 -1.35737 0.848296
580 1.00455 -1.3485 0.866143
590 1.02691 -1.32985 0.926377
600 0.979145 -1.32749 0.911048
610 1.03075 -1.32985 0.911589
620 0.977445 -1.34065 0.858667
630 0.982585 -1.33857 0.873103
640 0.985668 -1.35162 0.834691
650 1.03354 -1.3572 0.843111
660 1.01093 -1.35704 0.827937
670 0.972135 -1.32847 0.904071
680 0.989536 -1.31165 0.956372
690 0.993263 -1.32298 0.904559
700 0.999819 -1.34963 0.805419
710 0.972149 -1.34355 0.815495
720 0.987829 -1.34281 0.849302
730 0.96349 -1.33255 0.900415
740 0.996759 -1.34311 0.876458
750 0.989196 -1.32509 0.936436
760 1.03362 -1.37132 0.803288
770 1.06258 -1.35854 0.860208
780 1.03459 -1.32607 0.953923
790 1.02104 -1.35684 0.861401
800 0.940188 -1.35139 0.824052
810 0.981876 -1.35862 0.801531
820 0.984542 -1.32434 0.907345
830 0.972554 -1.34252 0.830419
840 0.995593 -1.3374 0.881877
850 0.98385 -1.33895 0.867657
860 0.966625 -1.34088 0.815152
870 1.00468 -1.33562 0.837199
880 0.995257 -1.33137 0.853711
890 1.01823 -1.31588 0.930405
900 1.02756 -1.32846 0.911272
910 1.00716 -1.31986 0.956959
920 1.04238 -1.31299 1.0114
930 1.03869 -1.3311 0.944792
940 1.01774 -1.33245 0.914612
950 0.994015 -1.31851 0.956315
960 1.00832 -1.3012 1.01487
970 1.03076 -1.31057 0.987204
980 0.989737 -1.28252 1.06509
990 1.00024 -1.28517 1.03978
1000 0.999479 -1.28836 1.01563
1010 0.959048 -1.28381 1.00788
1020 0.995978 -1.32012 0.886076
1030 1.03549 -1.34062 0.80491
1040 0.985719 -1.33731 0.790838
1050 0.971261 -1.33544 0.806865
1060 0.978729 -1.33553 0.806558
1070 0.959767 -1.33495 0.781895
1080 1.01693 -1.34575 0.757703
1090 0.99877 -1.32719 0.832533
1100 0.988758 -1.3246 0.852893
1110 1.00302 -1.34935 0.780421
1120 0.992302 -1.33444 0.837427
1130 0.986751 -1.32764 0.867249
1140 0.969812 -1.34727 0.797949
1150 1.00157 -1.3361 0.86365
1160 0.987005 -1.33354 0.878174
1170 1.00008 -1.31082 0.958804
1180 1.01017 -1.32012 0.895687
1190 1.03085 -1.30061 0.944281
1200 1.04207 -1.31721 0.911624
1210 0.975925 -1.33081 0.863093
1220 1.00281 -1.32513 0.913545
1230 1.01048 -1.3321 0.901759
1240 1.01366 -1.35175 0.828525
1250 1.00626 -1.34517 0.836141
1260 0.991324 -1.34665 0.81058
1270 1.02443 -1.3448 0.834982
1280 0.9931 -1.33996 0.851415
1290 0.986419 -1.35394 0.794541
1300 0.961622 -1.37092 0.716367
1310 1.00719 -1.36122 0.776471
1320 1.02697 -1.35775 0.830092
1330 1.00399 -1.33796 0.928208
1340 0.999955 -1.30669 1.01552
1350 1.00884 -1.34385 0.85481
1360 0.974218 -1.3481 0.795757
1370 0.974719 -1.32829 0.843889
1380 0.957374 -1.34121 0.776121
1390 0.965914 -1.34432 0.769852
1400 0.944001 -1.32972 0.827147
1410 1.01716 -1.35254 0.789429
1420 0.97483 -1.33994 0.821744
1430 0.985452 -1.32582 0.873794
1440 1.02049 -1.32918 0.867613
1450 0.944483 -1.31435 0.87506
1460 0.994641 -1.33313 0.845436
1470 0.989275 -1.32239 0.895282
1480 1.02369 -1.33071 0.888716
1490 1.03412 -1.34397 0.858969
1500 0.985908 -1.33238 0.867984
1510 0.943319 -1.33053 0.846722
1520 0.965171 -1.34248 0.795299
1530 0.963083 -1.32833 0.836949
1540 1.02235 -1.30846 0.92853
1550 1.04136 -1.33314 0.831354
1560 1.01788 -1.32863 0.819584
1570 0.992116 -1.34188 0.757843
1580 0.948083 -1.31967 0.801699
1590 0.991764 -1.3208 0.817243
1600 0.98594 -1.30795 0.848334
1610 1.02825 -1.31879 0.823301
1620 1.02753 -1.32985 0.785214
1630 0.989551 -1.3298 0.780222
1640 1.0378 -1.31565 0.871711
1650 0.999772 -1.3217 0.846438
1660 0.979559 -1.31674 0.830944
1670 0.955706 -1.33975 0.73995
1680 0.966922 -1.33292 0.773413
1690 1.03144 -1.34651 0.771503
1700 0.996854 -1.32369 0.847271
1710 0.970014 -1.31604 0.874595
1720 0.981981 -1.30368 0.916799
1730 0.98516 -1.33128 0.811433
1740 1.04372 -1.3415 0.788368
1750 1.02595 -1.31935 0.847348
1760 1.02193 -1.34483 0.746274
1770 1.00844 -1.30663 0.859427
1780 0.978761 -1.32145 0.801801
1790 0.953728 -1.32352 0.800901
1800 0.984919 -1.32616 0.809769
1810 1.01154 -1.34231 0.772718
1820 0.996863 -1.33235 0.7947
1830 0.96686 -1.30527 0.87919
1840 0.975789 -1.31738 0.829704
1850 0.934786 -1.32246 0.794164
1860 0.919165 -1.31069 0.826077
1870 0.934176 -1.32359 0.783782
1880 0.978852 -1.35653 0.676463
1890 0.987497 -1.34824 0.718646
1900 0.991836 -1.3301 0.7971
1910 0.991033 -1.32702 0.797659
1920 0.970463 -1.33515 0.761062
1930 0.978439 -1.32321 0.801971
1940 0.993716 -1.33039 0.761512
1950 1.00997 -1.34615 0.709484
1960 0.971899 -1.31271 0.826658
1970 0.947137 -1.32294 0.780464
1980 0.970918 -1.33284 0.768235
1990 1.00663 -1.31203 0.846859
2000 1.0275 -1.32808 0.804719
2010 0.994669 -1.34633 0.74613
2020 0.964283 -1.32545 0.814483
2030 0.993123 -1.31502 0.862983
2040 1.00177 -1.29997 0.91368
2050 0.993764 -1.31841 0.845604
2060 0.97757 -1.31437 0.859326
2070 0.968024 -1.32707 0.843602
2080 1.0076 -1.3295 0.876444
2090 1.00917 -1.32338 0.90215
2100 1.00878 -1.31171 0.927654
2110 1.02648 -1.29885 0.971029
2120 1.05085 -1.31988 0.895163
2130 1.02802 -1.2948 0.95206
2140 0.989721 -1.29116 0.930428
2150 0.986537 -1.29728 0.892594
2160 0.992728 -1.32412 0.781776
2170 0.991562 -1.32603 0.78592
2180 0.981411 -1.318 0.834654
2190 0.988302 -1.32046 0.858379
